"특별법범 (건)",교통사고처리 특례법,소계,155625,25580,8889,9149,5642,6247,5798,2006,599,42017,5251,6151,6179,4619,6421,8938,9208,2931
"특별법범 (건)",국가기술자격법,소계,52,5,10,2,1,-,1,-,1,16,2,3,2,-,2,2,5,-
"특별법범 (건)",국가보안법,소계,83,52,2,-,6,-,-,2,-,11,1,4,1,1,1,1,1,-
"특별법범 (건)",국민체육진흥법,소계,588,126,45,21,50,9,4,6,-,234,15,3,13,5,8,19,28,2
"특별법범 (건)",국토의계획 및 이용에 관한법률,소계,1324,12,14,9,66,5,3,28,14,517,59,83,94,68,61,124,158,9
"특별법범 (건)",근로기준법,소계,28974,5213,1995,1401,2,1355,42,620,-,9899,876,718,1821,1107,841,982,2102,-
"특별법범 (건)",근로자 퇴직급여 보장법,소계,8091,1903,545,434,-,258,12,200,-,2606,163,201,423,208,222,277,639,-
"특별법범 (건)",낚시관리 및 육성법,소계,502,-,6,-,19,-,-,2,-,34,2,-,14,-,16,64,340,5
"특별법범 (건)",노동조합 및 노동관계 조정법,소계,526,88,55,37,2,36,2,23,-,112,31,3,42,22,16,19,38,-
"특별법범 (건)",농수산물유통 및 가격안정에 관한법률,소계,32,4,9,7,10,-,-,-,-,-,-,-,1,-,-,-,1,-
"특별법범 (건)",농수산물의 원산지표시에 관한법률,소계,2314,75,150,1,71,7,13,1,20,623,121,101,188,268,241,249,182,3
"특별법범 (건)",농지법,소계,1367,4,10,6,68,15,7,13,23,672,35,27,60,115,63,119,75,55
"특별법범 (건)",대기환경보전법,소계,2867,165,128,52,153,64,44,32,3,1273,44,98,94,75,67,198,377,-
"특별법범 (건)",대부업 등의 등록 및 금융이용자 보호에 관한법률,소계,759,172,80,40,41,25,13,24,1,186,16,10,16,21,18,20,56,20
"특별법범 (건)",도로교통법,소계,12071,2603,770,486,758,247,162,393,30,3285,334,333,516,265,378,543,755,213
"특별법범 (건)",도로교통법(무면허운전),소계,18482,2600,1201,1174,1085,384,293,423,49,4356,738,910,897,448,895,1216,1493,320
"특별법범 (건)",도로교통법(사고후미조치),소계,8982,840,232,404,365,340,82,163,33,3607,274,228,411,246,453,434,622,248
"특별법범 (건)",도로교통법(음주운전),소계,91055,9070,3913,4415,4724,3373,2191,2021,413,25740,3335,3365,5119,3359,4475,5557,7835,2150
"특별법범 (건)",도로교통법(음주측정거부),소계,3243,296,145,124,109,105,53,42,20,828,151,131,272,130,201,230,338,68
"특별법범 (건)",도로법,소계,4306,143,206,152,374,73,47,30,14,1587,138,83,406,179,106,216,548,4
"특별법범 (건)",도시 및 주거환경 정비법,소계,497,137,88,53,18,15,20,3,-,93,17,5,4,17,3,2,22,-
"특별법범 (건)",독점규제 및 공정거래에 관한법률,소계,38,22,5,-,2,-,1,-,-,5,-,-,1,-,-,-,2,-
"특별법범 (건)",디자인보호법,소계,188,42,19,5,10,-,21,-,-,70,3,1,5,2,2,3,4,1
"특별법범 (건)",마약류 관리에 관한법률(대마),소계,1682,589,61,23,422,23,9,4,-,322,25,19,36,10,11,52,64,12
"특별법범 (건)",마약류 관리에 관한법률(마약),소계,1338,97,36,42,25,7,15,6,13,323,76,116,125,25,90,184,152,6
"특별법범 (건)",마약류 관리에 관한법률(향정),소계,6039,1609,599,267,845,110,91,36,27,1417,85,121,151,80,117,155,309,20
"특별법범 (건)",물환경보전법,소계,601,25,38,8,21,6,5,18,-,210,14,35,51,28,18,42,82,-
"특별법범 (건)",배타적경제수역에서의 외국인어업등에 관한 주권적권리의 행사에 관한법률,소계,95,-,-,-,10,-,-,-,-,-,-,-,-,26,42,-,-,17
"특별법범 (건)",범죄수익 은닉의 규제 및 처벌 등에 관한법률,소계,284,42,26,32,11,15,16,6,-,78,2,3,9,8,10,17,7,2
"특별법범 (건)",변호사법,소계,363,101,28,6,16,25,6,2,4,111,7,6,5,10,18,5,11,2
"특별법범 (건)",병역법,소계,1604,305,82,98,132,52,50,14,6,362,45,56,63,52,55,93,118,21
"특별법범 (건)",보조금관리에 관한법률,소계,671,43,38,26,26,17,7,9,3,67,17,13,30,20,41,17,293,4
"특별법범 (건)",부동산 실권리자 명의 등기에 관한법률,소계,413,47,22,18,15,12,9,4,7,119,19,21,24,19,17,16,30,14
"특별법범 (건)",부정경쟁방지 및 영업비밀 보호에 관한법률,소계,487,154,22,17,20,6,45,4,2,122,6,8,18,8,11,13,29,2
"특별법범 (건)",부정수표단속법,소계,669,231,67,107,13,3,3,1,2,140,13,9,6,10,4,7,45,8
"특별법범 (건)",사행행위 등 규제 및 처벌특례법,소계,182,30,23,2,13,9,3,-,2,44,1,4,8,-,3,8,30,2
"특별법범 (건)",산림자원의 조성 및 관리에 관한법률,소계,736,10,8,4,16,4,5,4,8,75,109,50,74,89,62,167,49,2
"특별법범 (건)",산업안전보건법,소계,4477,568,308,182,1,228,12,138,1,1546,197,118,372,181,140,204,281,-
"특별법범 (건)",산지관리법,소계,2523,12,13,4,44,4,4,17,41,567,272,205,377,207,172,377,207,-
"특별법범 (건)",상표법,소계,2967,1021,303,165,211,69,238,20,5,527,27,54,49,48,30,66,113,21
"특별법범 (건)",석유 및 석유대체연료 사업법,소계,501,11,143,22,24,5,18,4,3,63,8,18,25,70,26,23,37,1
"특별법범 (건)",선박안전법,소계,2091,-,715,-,26,-,-,6,-,6,23,-,10,133,55,6,1100,11
